	fisher_odds_ratio	P.Value	frac_mut_MMRD	frac_mut_MMRP	num_mut_MMRD	num_mut_MMRP	num_WT_MMRD	num_WT_MMRP	adj.P.Val
MRM1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AL671762.1	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
ZNF555	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RTN4R	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
WSB1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SNRNP35	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TRMT9B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PDLIM4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SNX27	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TPSG1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ANKRD36B	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
ATP13A4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RASGRP3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NAA15	0.9652777777777778	1.0	1 / 48	3 / 139	1.0	3.0	48.0	139.0	1.0
UTP25	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NUSAP1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RND3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
C1QA	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
IFNLR1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
IFT172	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SLC37A1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
OR4C16	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PPP1R9A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MTRF1L	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NCF4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GLT6D1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LIN28A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GNL3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
BTK	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GSK3B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF627	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GRM8	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LCE1E	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ACOT12	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PMPCA	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FAM98A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
IVD	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LRP1B	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
ARNT2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SOX4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ACVR2B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SLC36A1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FKBP15	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MROH2B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ADAMTS12	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CCDC27	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
HADHA	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ACAT1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MEX3D	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MLLT6	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MYO1F	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TSGA10	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MAPK1IP1L	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TGOLN2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TAAR1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PTPRC	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GBA	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MCMDC2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SH2D4B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PAWR	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
C9orf40	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SLC35C2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RBM24	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CHST7	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GXYLT2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MARCHF1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PLAAT3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
INPP4B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CCDC9B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AQR	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ADAMTS2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AC092718.3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SDF4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CP	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ADGRB1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PABPN1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GALNT16	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MTPAP	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CDKN2A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ATP13A3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PIGT	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NUFIP2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PLSCR4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZRSR2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
HP1BP3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DGKH	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RELB	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FOXC1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SFRP1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
EFCAB6	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AFP	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
COL23A1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
IDH2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RALGPS1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
KHDRBS1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MTMR7	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SCARB1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
BMP5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SENP7	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NCDN	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
POU4F1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CSDC2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TBCK	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZIC5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PARM1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NCAPG2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SLC35E4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZDHHC3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DNMT1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CEBPZOS	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
APBB3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SLC35E3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZDHHC11	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
HTATIP2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
APBA2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PRKCB	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AIPL1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CD8A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
VWA3A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MCRIP1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
POTEC	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ADAMTSL4-AS1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SRSF11	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
CUL4B	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
KCNA5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
HNRNPH3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ABCF2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF814	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MARVELD2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF112	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TGFB2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PI4K2B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FASTK	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RPS6KA2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DLD	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
OPN4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DNAAF1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
IGLON5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CASK	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FLYWCH1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
HS6ST3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AGBL5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NEDD4L	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SCN1A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TGIF2-RAB5IF	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DLGAP4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PAXX	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AASS	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
HELB	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RABEP2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CBARP	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
KLHL17	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LASP1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SLC52A3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
REXO5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ARAP3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF592	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NCL	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ENAM	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
OR5AR1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PVALEF	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
IRX2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FCGRT	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NOXA1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
STIMATE	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NR5A2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MYO9B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DPP4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AHCYL2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
OR9K2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
POLR1B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TTLL8	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
IRF7	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
AL139011.2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DHX9	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CRP	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DOC2A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF140	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DSG1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
BMP4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PKNOX1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
IRF3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RUNX1T1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SI	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SECISBP2L	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
CHRDL1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ILF3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
IMPG2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CFAP58	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PCDHB6	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ABCB1	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
LBX2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SSMEM1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CUL4A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
BABAM2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
HMGN5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LAMB2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
EIF3E	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TRADD	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
KLF1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TTC17	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
POLD3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CLEC1B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ILVBL	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GLYATL3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
THAP9	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF709	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GMCL2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MIPEP	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AGA	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RASAL2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CENPB	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LRRC37A6P	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
OR6C4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ODF3L2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SAXO2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
BUB1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
BRINP1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ANKDD1B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZMPSTE24	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TRGC2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SYCP3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PHAX	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
VAV2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PROCA1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PARD3B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
WFIKKN1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SRRM1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TMEM30A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SSBP3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LAT2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PCDHGC4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ABCD3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GP6	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LINGO2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SRBD1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FBXL13	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
P2RX1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
UBN2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
E2F7	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LEO1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LRRC37A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SPPL2C	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CBLC	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
QRFPR	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CDK20	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
OLA1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TMEM242	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
S1PR4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SPRYD7	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MMP26	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ACY1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
